month,num
2006-08,1
2006-09,15
2006-10,19
2006-11,53
2006-12,18
2007-01,16
2007-02,42
2007-03,18
2007-04,46
2007-05,10
2007-06,45
2007-07,40
2007-08,34
2007-09,25
2007-10,21
2007-11,23
2007-12,28
2008-01,41
2008-02,50
2008-03,39
2008-04,61
2008-05,37
2008-06,43
2008-07,43
2008-08,37
2008-09,42
2008-10,117
2008-11,109
2008-12,87
2009-01,98
2009-02,55
2009-03,186
2009-04,265
2009-05,359
2009-06,337
2009-07,189
2009-08,153
2009-09,39
2009-10,72
2009-11,155
2009-12,78
2010-01,121
2010-02,123
2010-03,57
2010-04,79
2010-05,85
2010-06,76
2010-07,73
2010-08,15
2010-09,56
2010-10,57
2010-11,38
2010-12,41
2011-01,66
2011-02,26
2011-03,24
2011-04,26
2011-05,45
2011-06,118
2011-07,86
2011-08,538
2011-09,2697
2011-10,1645
2011-11,297
2011-12,81
2012-01,95
2012-02,126
2012-03,370
2012-04,152
2012-05,162
2012-06,264
2012-07,606
2012-08,589
2012-09,662
2012-10,821
2012-11,1428
2012-12,569
2013-01,674
2013-02,566
2013-03,736
2013-04,641
2013-05,780
2013-06,493
2013-07,1174
2013-08,1169
2013-09,1130
2013-10,1739
2013-11,758
2013-12,443
2014-01,1086
2014-02,1144
2014-03,850
2014-04,629
2014-05,1514
2014-06,1128
2014-07,2351
2014-08,2235
2014-09,1012
2014-10,1472
2014-11,1344
2014-12,1616
2015-01,2473
2015-02,3426
2015-03,1894
2015-04,2229
2015-05,1840
2015-06,2107
2015-07,2387
2015-08,3420
2015-09,1964
2015-10,2855
2015-11,2399
2015-12,2982
2016-01,3920
2016-02,3222
2016-03,2435
2016-04,2416
2016-05,2639
2016-06,2263
2016-07,4390
2016-08,3231
2016-09,2801
2016-10,2876
2016-11,3530
2016-12,2299
2017-01,2799
2017-02,862
2017-03,2385
2017-04,1919
