month,num
2006-08,0
2006-09,6
2006-10,19
2006-11,25
2006-12,30
2007-01,36
2007-02,42
2007-03,50
2007-04,55
2007-05,59
2007-06,63
2007-07,67
2007-08,71
2007-09,78
2007-10,82
2007-11,87
2007-12,91
2008-01,95
2008-02,100
2008-03,104
2008-04,109
2008-05,113
2008-06,117
2008-07,121
2008-08,125
2008-09,130
2008-10,139
2008-11,149
2008-12,153
2009-01,158
2009-02,162
2009-03,168
2009-04,173
2009-05,179
2009-06,184
2009-07,190
2009-08,194
2009-09,199
2009-10,203
2009-11,207
2009-12,211
2010-01,216
2010-02,221
2010-03,229
2010-04,234
2010-05,240
2010-06,245
2010-07,249
2010-08,58
2010-09,60
2010-10,60
2010-11,60
2010-12,66
2011-01,70
2011-02,73
2011-03,73
2011-04,75
2011-05,76
2011-06,78
2011-07,81
2011-08,84
2011-09,88
2011-10,88
2011-11,93
2011-12,93
2012-01,99
2012-02,100
2012-03,100
2012-04,101
2012-05,103
2012-06,110
2012-07,114
2012-08,114
2012-09,123
2012-10,127
2012-11,127
2012-12,129
2013-01,131
2013-02,138
2013-03,147
2013-04,147
2013-05,147
2013-06,150
2013-07,150
2013-08,152
2013-09,152
2013-10,156
2013-11,158
2013-12,160
2014-01,163
2014-02,166
2014-03,166
2014-04,168
2014-05,170
2014-06,170
2014-07,172
2014-08,172
2014-09,173
2014-10,173
2014-11,173
2014-12,173
2015-01,173
2015-02,175
2015-03,180
2015-04,180
2015-05,181
2015-06,182
2015-07,183
2015-08,183
2015-09,184
2015-10,185
2015-11,188
2015-12,191
2016-01,191
2016-02,192
2016-03,192
2016-04,193
2016-05,193
2016-06,193
2016-07,193
2016-08,193
2016-09,195
2016-10,195
2016-11,195
2016-12,196
2017-01,196
2017-02,196
2017-03,196
2017-04,197
