month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2006-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2006-10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2006-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2006-12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0
2007-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
2007-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
2007-03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2007-04,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,6,7
2007-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2007-06,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,5,2,8
2007-07,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
2007-08,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,6,1,2
2007-09,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,5,1
2007-10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2007-11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2007-12,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,4,3
2008-01,0,0,0,0,0,0,0,0,0,4,0,0,24,0,0,0,0,0,0,0,0,3,2,0
2008-02,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,1,0,0,0,0,5,0,4
2008-03,0,0,4,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5,0,5
2008-04,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,6,4
2008-05,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,5
2008-06,0,0,4,0,16,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2008-07,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2008-08,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,3,0,0,21,3,0
2008-09,0,0,0,0,14,0,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0
2008-10,0,0,0,0,0,3,0,0,4,5,0,0,0,0,20,0,0,0,0,0,0,2,0,0
2008-11,0,0,0,0,0,6,0,0,0,1,0,0,0,0,39,0,0,0,0,0,0,1,0,0
2008-12,0,0,0,0,2,6,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
2009-01,0,0,0,0,0,1,0,0,0,3,0,0,0,0,30,0,0,0,0,0,0,3,0,0
2009-02,0,0,0,0,1,0,0,0,0,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0
2009-03,0,0,0,0,0,0,0,0,0,3,0,0,0,0,61,0,0,0,5,0,4,1,0,3
2009-04,0,0,0,4,0,4,0,0,0,0,7,0,0,0,87,0,0,0,7,0,7,0,0,5
2009-05,0,0,0,0,0,14,0,0,0,2,0,0,0,4,96,0,0,0,3,0,0,0,0,4
2009-06,0,0,0,0,8,1,0,1,0,2,7,0,0,0,57,0,0,0,1,0,3,11,1,0
2009-07,0,0,0,0,0,4,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,5,0,0
2009-08,0,0,0,0,5,1,0,0,0,3,0,0,1,0,25,0,0,0,8,0,4,11,1,0
2009-09,0,0,0,0,0,4,0,0,0,1,0,0,2,0,3,0,0,0,4,0,1,0,0,0
2009-10,0,0,0,0,3,0,0,3,0,4,0,0,0,0,5,0,0,0,5,0,0,4,0,0
2009-11,0,0,0,0,0,4,0,0,4,4,0,0,1,0,10,0,0,0,1,0,1,4,0,0
2009-12,4,0,0,0,0,1,0,0,3,0,0,0,0,0,26,0,0,0,1,0,0,6,0,0
2010-01,0,0,0,0,5,12,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,1,0,0
2010-02,0,0,0,0,4,4,0,0,0,1,1,0,0,0,3,0,2,0,0,0,0,0,0,2
2010-03,0,0,0,0,1,10,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,2
2010-04,4,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,2
2010-05,0,0,0,0,0,8,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2010-06,7,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
2010-07,10,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,8,2,0,0
2010-08,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0
2010-09,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,5,2,0,0
2010-10,11,0,5,0,5,0,0,0,0,1,1,0,1,0,7,0,0,0,0,0,0,10,0,0
2010-11,0,0,9,0,0,0,0,0,5,1,0,0,1,0,4,0,0,0,0,0,3,0,0,0
2010-12,0,0,0,0,0,0,0,0,9,0,1,0,0,0,14,0,0,0,0,0,2,1,0,0
2011-01,0,0,0,0,2,9,0,0,7,0,0,0,0,0,12,0,0,0,0,0,19,0,0,0
2011-02,3,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,5,0,0,5,0,0,0
2011-03,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,0,0,0,2,0,3,3,1,0
2011-04,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,2,0,0,0
2011-05,1,0,0,0,0,0,0,0,4,2,0,0,0,0,9,0,0,0,0,0,0,6,0,0
2011-06,2,0,0,0,0,3,0,0,6,0,0,0,0,0,61,0,0,0,0,0,0,5,0,0
2011-07,23,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0
2011-08,46,0,0,0,1,0,0,0,0,0,0,0,0,0,413,0,6,0,0,0,3,4,2,0
2011-09,458,0,0,0,0,67,0,0,0,0,0,0,0,0,2114,0,0,0,3,0,0,39,0,0
2011-10,639,0,0,0,0,5,0,0,6,1,0,0,0,0,984,0,0,0,0,0,0,5,0,0
2011-11,0,0,0,13,0,0,0,0,0,0,0,9,0,0,245,0,0,0,0,0,5,15,0,0
2011-12,3,0,6,10,0,0,0,0,0,0,0,4,0,0,30,0,0,0,3,0,3,8,1,0
2012-01,0,0,4,8,0,0,0,0,0,3,0,0,0,0,13,0,2,0,0,0,0,5,0,0
2012-02,0,0,0,6,0,0,0,0,0,0,0,20,0,0,22,0,0,0,0,0,0,1,0,0
2012-03,2,0,0,26,0,5,0,0,0,0,0,4,0,0,287,0,3,0,0,0,3,5,0,0
2012-04,3,0,0,54,0,2,0,0,0,0,3,2,0,0,22,0,0,0,0,10,12,9,0,0
2012-05,0,0,0,19,0,0,0,0,0,0,0,0,0,8,59,0,3,0,0,0,2,10,0,0
2012-06,3,0,0,73,0,0,0,0,0,0,0,0,0,0,115,0,2,0,0,4,6,4,0,0
2012-07,24,0,0,72,0,0,0,0,0,0,11,0,0,10,455,11,0,0,0,0,5,0,0,0
2012-08,0,0,0,10,3,7,5,0,286,0,3,0,0,0,150,0,4,10,4,1,2,3,0,0
2012-09,0,0,0,5,0,0,0,1,218,0,0,0,0,0,329,5,2,0,0,1,6,3,0,0
2012-10,0,0,0,45,0,3,0,0,458,0,0,0,0,0,208,3,4,0,0,0,0,0,0,0
2012-11,1,0,0,0,0,0,2,0,518,0,0,7,0,0,696,3,10,0,0,20,0,7,0,0
2012-12,12,0,0,0,2,0,0,0,225,0,0,7,0,0,203,0,0,0,0,0,7,7,0,0
2013-01,0,0,0,0,0,0,0,0,399,0,0,8,0,0,122,0,0,1,5,0,3,39,0,0
2013-02,0,0,0,12,0,0,0,0,244,0,0,0,0,0,174,30,0,0,2,6,7,16,0,0
2013-03,0,0,0,0,0,0,0,0,69,0,0,0,0,0,523,64,0,0,5,0,11,19,0,0
